scenario,analysis_group,feature_id,transition,allowed_directions,minimum_abs_delta,rule_status,interpretation,boundary
ardens_replacement_loss,specialist,visual_salience_v1,large_to_ardens,flat|decrease,0.25,active,"Visual display may remain stable while B. ardens supplies partial service; a weak early decline is allowed because the Campanula calibration showed continuous erosion in some channels.",This is a model-derived public-image signature, not a direct guide or pollinator measurement.
ardens_replacement_loss,specialist,visual_salience_v1,ardens_to_no_bombus,decrease,0.25,active,"Loss of effective Bombus service predicts a late decline in the image-derived visual-salience proxy.",The proxy is a within-taxon composite of scale-free image descriptors.
ardens_replacement_loss,generalist,visual_salience_v1,large_to_ardens,flat,0.25,active,"Open-generalist negative controls are not predicted to show a common first-transition visual-salience shift.",Flat means no directional signature beyond the prespecified tolerance.
ardens_replacement_loss,generalist,visual_salience_v1,ardens_to_no_bombus,flat,0.25,active,"Open-generalist negative controls are not predicted to show the specialist-like second visual threshold.",This does not assert that all generalist floral traits are invariant.
body_size_only,specialist,visual_salience_v1,large_to_ardens,flat,0.25,active,"A body-size-only model alters size geometry but has no required visual-salience transition.",The current image pipeline does not estimate absolute floral size.
body_size_only,specialist,visual_salience_v1,ardens_to_no_bombus,flat,0.25,active,"A body-size-only model has no required second visual threshold.",The current image pipeline does not estimate absolute floral size.
body_size_only,generalist,visual_salience_v1,large_to_ardens,flat,0.25,active,"No required visual threshold.",The current image pipeline is descriptive.
body_size_only,generalist,visual_salience_v1,ardens_to_no_bombus,flat,0.25,active,"No required visual threshold.",The current image pipeline is descriptive.
small_bee_substitution,specialist,visual_salience_v1,large_to_ardens,flat,0.25,active,"Full small-bee substitution predicts retained visual value.",This is a competing qualitative signature only.
small_bee_substitution,specialist,visual_salience_v1,ardens_to_no_bombus,flat,0.25,active,"Full small-bee substitution predicts no late visual threshold.",This does not estimate small-bee effectiveness.
small_bee_substitution,generalist,visual_salience_v1,large_to_ardens,flat,0.25,active,"No required visual threshold.",The current image pipeline is descriptive.
small_bee_substitution,generalist,visual_salience_v1,ardens_to_no_bombus,flat,0.25,active,"No required visual threshold.",The current image pipeline is descriptive.
environment_only,specialist,visual_salience_v1,large_to_ardens,,0.25,not_identified,"No regime-specific visual prediction is scored until an explicit environmental image model is supplied.",Do not call environment-only supported or contradicted by regime contrasts alone.
environment_only,specialist,visual_salience_v1,ardens_to_no_bombus,,0.25,not_identified,"No regime-specific visual prediction is scored until an explicit environmental image model is supplied.",Do not call environment-only supported or contradicted by regime contrasts alone.
environment_only,generalist,visual_salience_v1,large_to_ardens,,0.25,not_identified,"No regime-specific visual prediction is scored until an explicit environmental image model is supplied.",Do not call environment-only supported or contradicted by regime contrasts alone.
environment_only,generalist,visual_salience_v1,ardens_to_no_bombus,,0.25,not_identified,"No regime-specific visual prediction is scored until an explicit environmental image model is supplied.",Do not call environment-only supported or contradicted by regime contrasts alone.
